DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,WIN9,DIV9
1782,2018-01-24,LOTTO,3,40,32,18,19,24,25,0,0,5,48794.00,138,3074.60,312,1699.90,6788,131.30,8758,88.40,128943,50.00,93320,20.00
1781,2018-01-20,LOTTO,28,50,52,5,27,35,39,0,0,0,0,80,7242.10,180,2554.50,4030,191.70,5707,117.60,80203,50.00,61846,20.00
1780,2018-01-17,LOTTO,41,28,18,24,30,12,47,0,0,2,74596.20,74,3506.30,165,1965.70,4041,134.80,4303,110.10,72223,50.00,46161,20.00
1779,2018-01-13,LOTTO,50,46,48,27,10,29,32,0,0,1,188574.20,55,5962.80,157,2611.10,3179,216.60,4738,126.30,66793,50.00,50922,20.00
1778,2018-01-10,LOTTO,23,49,31,45,41,47,19,0,0,1,141738.10,65,3792.30,196,1572.10,3050,169.80,4317,104.20,53530,50.00,47199,20.00
1777,2018-01-06,LOTTO,39,34,31,33,44,43,38,0,0,1,143815.10,89,2810.30,207,1510.30,3668,143.20,4673,97.70,65557,50.00,47141,20.00
1776,2018-01-03,LOTTO,24,37,3,35,31,43,39,0,0,2,61413.50,40,5340.30,117,2282.20,2689,166.80,3885,100.30,52772,50.00,39169,20.00
1775,2017-12-30,LOTTO,28,2,34,33,23,46,3,0,0,2,74137.80,66,3907.10,135,2387.70,3100,174.70,4400,107.00,63038,50.00,51277,20.00
1774,2017-12-27,LOTTO,48,3,42,49,20,10,31,0,0,6,16851.60,35,5024.20,98,2243.00,2239,164.80,2900,110.60,43058,50.00,31166,20.00
1773,2017-12-23,LOTTO,19,39,6,41,8,24,12,0,0,0,0,62,7098.20,220,1587.60,3908,150.20,6641,76.80,76406,50.00,66973,20.00
1772,2017-12-20,LOTTO,10,16,14,27,29,52,4,0,0,3,29179.10,30,5074.60,91,2091.10,1789,178.70,2911,95.50,36936,50.00,32189,20.00
1771,2017-12-16,LOTTO,22,42,11,2,17,18,23,0,0,0,0,51,5184.50,125,1678.80,3273,107.70,4140,47.00,61101,50.00,42326,20.00
