DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,OB1,OB2,OB3,OB4,OB5,OB6
1557,2015-11-28,LOTTO,47,26,9,4,20,23,32,1,1659914.00,3,121272.00,116,7057.00,241,1887.00,5364,284.00,6522,153.00,95044,34.00,0,0.00,4,9,20,23,26,47
1558,2015-12-02,LOTTO,40,33,25,34,36,43,35,1,1240259.00,0,0.00,65,13592.00,192,1770.00,3401,335.00,6297,119.00,65039,38.00,0,0.00,25,33,34,36,40,43
1559,2015-12-05,LOTTO,16,43,39,19,5,8,13,0,0.00,0,0.00,76,14219.00,302,1376.00,5052,258.00,7322,125.00,89912,33.00,0,0.00,5,8,16,19,39,43
1560,2015-12-09,LOTTO,4,41,39,14,34,32,45,0,0.00,1,255153.00,53,10832.00,135,2362.00,3128,342.00,3897,180.00,5943,39.00,0,0.00,4,14,32,34,39,41
1561,2015-12-12,LOTTO,43,46,48,11,29,31,12,0,0.00,3,161447.00,99,11008.00,238,2544.00,5606,362.00,7353,181.00,111058,39.00,0,0.00,11,29,31,43,46,48
1562,2015-12-16,LOTTO,30,27,7,2,15,17,49,2,10781970.00,4,85695.00,160,4820.00,343,1249.00,7277,197.00,7766,121.00,107704,29.00,0,0.00,2,7,15,17,27,30
1563,2015-12-19,LOTTO,5,38,15,22,49,20,13,1,1631852.00,3,119222.00,80,10059.00,228,1961.00,5460,274.00,6909,142.00,100519,32.00,0,0.00,5,15,20,22,38,49
1564,2015-12-23,LOTTO,10,1,30,15,39,32,42,0,0.00,1,284037.00,75,8521.00,164,2165.00,3987,298.00,4665,168.00,73119,35.00,0,0.00,1,10,15,30,32,39
1565,2015-12-26,LOTTO,40,41,42,9,45,24,32,0,0.00,1,223957.00,54,9332.00,135,2074.00,3705,253.00,3727,165.00,55061,37.00,0,0.00,9,24,40,41,42,45
1566,2015-12-30,LOTTO,3,2,23,48,29,45,9,0,0.00,5,53222.00,64,9355.00,171,1945.00,3004,371.00,5161,142.00,61983,39.00,0,0.00,2,3,23,29,45,48
1567,2016-01-02,LOTTO,45,5,39,8,36,3,44,0,0.00,2,146448.00,86,7663.00,190,1927.00,4027,301.00,4931,163.00,77858,34.00,0,0.00,3,5,8,36,39,45
1568,2016-01-06,LOTTO,14,9,28,19,43,44,49,1,6089117.00,1,267602.00,64,9408.00,159,2104.00,3468,323.00,4478,164.00,65884,37.00,0,0.00,9,14,19,28,43,44
1569,2016-01-09,LOTTO,38,2,47,46,42,31,27,0,0.00,1,311999.00,50,14040.00,169,2308.00,3713,352.00,4853,177.00,69510,40.00,0,0.00,2,31,38,42,46,47
1570,2016-01-13,LOTTO,3,24,8,47,44,9,37,0,0.00,1,245507.00,66,8370.00,174,1764.00,3373,305.00,4388,154.00,64487,34.00,0,0.00,3,8,9,24,44,47
1571,2016-01-16,LOTTO,18,8,6,25,39,47,20,1,4103413.00,0,0.00,96,11574.00,247,1730.00,4528,316.00,6619,142.00,84658,36.00,0,0.00,6,8,18,25,39,47
1572,2016-01-20,LOTTO,37,11,3,43,2,1,6,0,0.00,3,79718.00,84,6406.00,224,1335.00,4066,246.00,11185,59.00,67884,32.00,0,0.00,1,2,3,11,37,43
1573,2016-01-23,LOTTO,10,44,6,23,16,30,12,1,2613787.00,1,333731.00,105,7151.00,289,1444.00,5264,266.00,7165,128.00,91231,33.00,0,0.00,6,10,16,23,30,44
1574,2016-01-27,LOTTO,43,37,20,26,13,8,32,3,402268.00,1,264505.00,93,6399.00,237,1395.00,3982,278.00,4934,147.00,66307,36.00,0,0.00,8,13,20,26,37,43
1575,2016-01-30,LOTTO,35,23,27,9,16,5,15,1,20000000.00,9,65330.00,286,462.00,585,1256.00,10894,226.00,14090,115.00,172194,31.00,0,0.00,5,9,16,23,27,35
1576,2016-02-03,LOTTO,49,32,9,18,20,6,26,0,0.00,1,290126.00,90,7253.00,197,1841.00,4412,275.00,5930,135.00,79885,33.00,0,0.00,6,9,18,20,32,49
1577,2016-02-06,LOTTO,31,41,37,17,1,47,18,0,0.00,3,118331.00,71,11250.00,175,2536.00,4718,315.00,5651,173.00,85178,38.00,0,0.00,1,17,31,37,41,47
1578,2016-02-10,LOTTO,25,40,1,49,46,33,43,0,0.00,2,128444.00,58,9966.00,163,1970.00,3439,313.00,4623,153.00,62791,37.00,0,0.00,1,25,33,40,46,49
1579,2016-02-13,LOTTO,21,30,31,4,37,17,39,2,2803767.00,0,0.00,82,12962.00,194,2107.00,4504,304.00,5859,154.00,84811,35.00,0,0.00,4,17,21,30,31,37
1580,2016-02-17,LOTTO,19,25,16,14,6,40,22,0,0.00,0,0.00,67,11093.00,178,1606.00,3533,271.00,5392,117.00,62289,33.00,0,0.00,6,14,16,19,25,40
1581,2016-02-20,LOTTO,7,20,37,48,35,24,43,1,2430860.00,3,101365.00,97,7054.00,208,1828.00,4845,263.00,5519,152.00,80543,34.00,0,0.00,7,20,24,35,37,48
1582,2016-02-24,LOTTO,5,41,15,11,4,26,49,0,0.00,3,71770.00,51,9499.00,113,2382.00,3461,261.00,3776,157.00,61412,32.00,0,0.00,4,5,11,15,26,41
1583,2016-02-27,LOTTO,43,44,47,35,14,2,6,1,2604545.00,4,88887.00,81,9876.00,175,2540.00,4118,362.00,5985,163.00,79194,40.00,0,0.00,2,14,35,43,44,47
1584,2016-03-02,LOTTO,18,36,23,27,37,30,14,0,0.00,2,140122.00,82,7690.00,159,2203.00,4345,270.00,4757,162.00,72579,35.00,0,0.00,18,23,27,30,36,37
1585,2016-03-05,LOTTO,35,15,3,21,48,38,43,1,2817005.00,5,67436.00,92,8246.00,209,2017.00,4757,297.00,5936,156.00,84096,36.00,0,0.00,3,15,21,35,38,48
1586,2016-03-09,LOTTO,45,41,48,9,35,29,25,0,0.00,2,117840.00,45,11784.00,134,2199.00,2728,362.00,3809,170.00,51525,41.00,0,0.00,9,29,35,41,45,48
1587,2016-03-12,LOTTO,26,4,15,22,39,30,6,0,0.00,3,107038.00,95,7605.00,256,1568.00,4812,280.00,7677,115.00,83034,35.00,0,0.00,4,15,22,26,30,39
1588,2016-03-16,LOTTO,37,32,46,30,47,15,40,0,0.00,0,0.00,37,20741.00,116,2545.00,2422,408.00,3703,175.00,49001,43.00,0,0.00,15,30,32,37,46,47
1589,2016-03-19,LOTTO,9,31,42,5,48,40,17,0,0.00,3,102985.00,72,9655.00,204,1893.00,3690,351.00,5615,151.00,73396,38.00,0,0.00,5,9,31,40,42,48
1590,2016-03-23,LOTTO,17,20,48,10,24,46,9,0,0.00,2,113574.00,86,5943.00,204,1392.00,3514,271.00,4413,142.00,59298,35.00,0,0.00,10,17,20,24,46,48
